label	y	n
Statement-non-opinion	sd	75136
Acknowledge (Backchannel)	b	38284
Statement-opinion	sv	26421
Uninterpretable	%	15215
Agree/Accept	aa	11123
Appreciation	ba	4757
Yes-No-Question	qy	4725
Yes Answers	ny	3031
Conventional-closing	fc	2581
Wh-Question	qw	1977
No Answers	nn	1374
Response Acknowledgement	bk	1306
Hedge	h	1226
Declarative Yes-No-Question	qy^d	1218
Backchannel in Question Form	bh	1053
Quotation	^q	983
Summarize/Reformulate	bf	952
Other	fo_o_fw_"_by_bc	879
Affirmative Non-yes Answers	na	847
Action-directive	ad	745
Collaborative Completion	^2	723
Repeat-phrase	b^m	687
Open-Question	qo	656
Rhetorical-Question	qh	575
Hold Before Answer/Agreement	^h	556
Reject	ar	344
Negative Non-no Answers	ng	302
Signal-non-understanding	br	298
Other Answers	no	285
Conventional-opening	fp	225
Or-Clause	qrr	209
Dispreferred Answers	arp_nd	207
3rd-party-talk	t3	117
Offers, Options Commits	oo_co_cc	110
Maybe/Accept-part	aap_am	104
Downplayer	bd	103
Self-talk	t1	103
Tag-Question	^g	92
Declarative Wh-Question	qw^d	80
Apology	fa	79
Thanking	ft	78